kind,warehouse_code,warehouse_name,scan_prefix,zone,shelf,bin,zone_scan,shelf_scan,bin_scan,product_sku,qty,source
bin,STR,Stock Room,STR,A,S006,01,STR.A,STR.AS006,STR.AS006.01,RAW-SOAP-COCO-OIL,400,bin
bin,STR,Stock Room,STR,A,S006,02,STR.A,STR.AS006,STR.AS006.02,RAW-SOAP-NEEM-OIL,25,bin
bin,STR,Stock Room,STR,A,S006,03,STR.A,STR.AS006,STR.AS006.03,RAW-SOAP-CASTOR-OIL,100,bin
bin,STR,Stock Room,STR,A,S006,04,STR.A,STR.AS006,STR.AS006.04,RAW-SOAP-COCO-OIL,1000,bin
bin,STR,Stock Room,STR,A,S01,01,STR.A,STR.AS01,STR.AS01.01,RGDL,1234,bin
bin,STR,Stock Room,STR,A,S01,02,STR.A,STR.AS01,STR.AS01.02,GNSD,1234,bin
bin,STR,Stock Room,STR,A,S01,03,STR.A,STR.AS01,STR.AS01.03,,0,bin
bin,STR,Stock Room,STR,A,S01,04,STR.A,STR.AS01,STR.AS01.04,PSMT,1234,bin
bin,STR,Stock Room,STR,A,S01,05,STR.A,STR.AS01,STR.AS01.05,SSB,1234,bin
bin,STR,Stock Room,STR,A,S01,06,STR.A,STR.AS01,STR.AS01.06,WSS,1234,bin
bin,STR,Stock Room,STR,A,S02,01,STR.A,STR.AS02,STR.AS02.01,,0,bin
bin,STR,Stock Room,STR,A,S02,02,STR.A,STR.AS02,STR.AS02.02,IRKF,1234,bin
bin,STR,Stock Room,STR,A,S02,03,STR.A,STR.AS02,STR.AS02.03,SBWT,1234,bin
bin,STR,Stock Room,STR,A,S02,04,STR.A,STR.AS02,STR.AS02.04,GNSD,1234,bin
bin,STR,Stock Room,STR,A,S02,05,STR.A,STR.AS02,STR.AS02.05,GWP,1234,bin
bin,STR,Stock Room,STR,A,S02,06,STR.A,STR.AS02,STR.AS02.06,,0,bin
bin,STR,Stock Room,STR,A,S03,01,STR.A,STR.AS03,STR.AS03.01,SPNT,1234,bin
bin,STR,Stock Room,STR,A,S03,02,STR.A,STR.AS03,STR.AS03.02,,0,bin
bin,STR,Stock Room,STR,A,S03,03,STR.A,STR.AS03,STR.AS03.03,BTMT,1234,bin
bin,STR,Stock Room,STR,A,S03,04,STR.A,STR.AS03,STR.AS03.04,FXTM,1234,bin
bin,STR,Stock Room,STR,A,S03,05,STR.A,STR.AS03,STR.AS03.05,,0,bin
bin,STR,Stock Room,STR,A,S03,06,STR.A,STR.AS03,STR.AS03.06,,0,bin
bin,STR,Stock Room,STR,A,S031,01,STR.A,STR.AS031,STR.AS031.01,,0,bin
bin,STR,Stock Room,STR,A,S031,02,STR.A,STR.AS031,STR.AS031.02,,0,bin
bin,STR,Stock Room,STR,A,S031,03,STR.A,STR.AS031,STR.AS031.03,,0,bin
