variantSku,variantBarcode,productSku,productName,productType,ruleScope,rulePriority,ruleNotes,stockOnHand,strBinQty,strBinCode
AGRB-CHA-90STICKS-04,CH243,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AGRB-JAS-90STICKS-02,CH241,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AGRB-KEW-90STICKS-03,CH242,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AGRB-LAV-90STICKS-05,CH244,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AGRB-MOG-90STICKS-06,CH245,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AGRB-ROS-90STICKS-07,CH246,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AGRB-SAN-90STICKS-01,CH240,AGRB,Agarbathi,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AJWN-100G-01,SM989,AJWN,Ajwain,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
AKPD-200G-01,SM982,AKPD,Andukorra Papad,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
ALMN-BAD-100G-05,DH303,ALMN,Almonds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
ALMN-BAD-1KG-01,DH361,ALMN,Almonds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
ALMN-BAD-250G-04,DH302,ALMN,Almonds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
ALMN-BAD-500G-02,DH301,ALMN,Almonds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AMLP-100G-01,DH342,AMLP,Amla Powder,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
AMRS-RAJ-100G-03,DH402,AMRS,Amaranth Seeds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AMRS-RAJ-200G-02,DH403,AMRS,Amaranth Seeds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
AMRS-RAJ-500G-01,DH404,AMRS,Amaranth Seeds,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
ANPA-500G-01,RC169,ANPA,Anapa pappu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
APKL-300G-02,SM950,APKL,Amla pickle,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
ASHW-100G-02,CH256,ASHW,Ashwagandha powder,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
ASHW-200G-01,CH255,ASHW,Ashwagandha powder,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,2468,0,
BAJA-1KG-01,ML448,BAJA,Bajra,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BAJA-500G-02,ML449,BAJA,Bajra,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BAJF-1KG-01,ML452,BAJF,Bajra Flour,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BAJF-500G-02,ML453,BAJF,Bajra Flour,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BAJP-1KG-01,ML489,BAJP,Bajra Poha,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BAJP-250G-03,ML491,BAJP,Bajra Poha,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BAJP-500G-02,ML490,BAJP,Bajra Poha,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BAJR-1KG-01,ML450,BAJR,Bajra Ravva,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BAJR-500G-02,ML451,BAJR,Bajra Ravva,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BGHK-GUN-250G-01,RC103,BGHK,Blackgram without Husk,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BGRM-1KG-01,RC101,BGRM,Blackgram whole,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BGRM-500G-02,RC102,BGRM,Blackgram whole,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BGSC-1KG-01,RC106,BGSC,Blackgram stone crushed,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BGSC-500G-02,RC107,BGSC,Blackgram stone crushed,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BHMP-200G-02,DH307,BHMP,Brahmi Powder,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BHMP-500G-01,DH306,BHMP,Brahmi Powder,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BKRC-1KG-01,RC168,BKRC,Black Rice,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BKSL-100G-02,SM1007,BKSL,Black Salt,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BKSL-200G-01,SM1008,BKSL,Black Salt,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,2468,0,
BLRC-1KG-01,RC176,BLRC,Boiled Rice,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,1234,0,
BLVD-750ML-01,DH305,BLVD,Bilva / Maredu Drink,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BLYG-100G-01,DH304,BLYG,Barley Grass Powder,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BPSC-1KG-01,RC110,BPSC,Black Pesalu Stone Crushed,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BPSC-500G-02,RC111,BPSC,Black Pesalu Stone Crushed,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BPSL-1KG-01,RC108,BPSL,Black Pesalu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BPSL-500G-02,RC109,BPSL,Black Pesalu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BRAR-100G-03,S1249,BRAR,Black Rice Arisalu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BRAR-1KG-01,S1311,BRAR,Black Rice Arisalu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BRAR-500G-02,S1276,BRAR,Black Rice Arisalu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BRLD-100G-01,S1243,BRLD,Borugulu Laddu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BRTI-SAJ-3PC-01,S1234,BRTI,Bajra rotti,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BSMR-100G-03,S1247,BSMR,Besan murukulu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
BSMR-1KG-01,S1309,BSMR,Besan murukulu,finished,product,200,Auto-staged in Zone PR for retail / vacuum pack,0,0,
